scientific_name,GenBank accession,Assembly level,NCBI ,Is assembly of target species
Anodonta anatina,GCA_980915975.2,Scaffold,https://www.ebi.ac.uk/ena/browser/view/GCA_980915975.2,"No, sister species"
Anodonta cygnea,GCA_980915975.2,Scaffold,https://www.ebi.ac.uk/ena/browser/view/GCA_980915975.2,Yes
Anodonta exulcerata,GCA_980915975.2,Scaffold,https://www.ebi.ac.uk/ena/browser/view/GCA_980915975.2,"No, sister species"
Bison bonasus,GCA_963879515.1,Scaffold,https://www.ebi.ac.uk/ena/browser/view/GCA_963879515.1,Yes
Bos taurus,GCA_002263795.4,Chromosome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_002263795.4/,Yes
Capra ibex,GCA_054642885.1,Chromosome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054642885.1/,Yes
Erebia cassioides,GCA_976986335.1,Chromosome,https://www.ebi.ac.uk/ena/browser/view/GCA_976986335.1,Yes
Gasterosteus aculeatus,GCA_964276395.1,Chromosome,https://www.ebi.ac.uk/ena/browser/view/GCA_964276395.1,Yes
Tyto alba,GCA_018691265.1,Scaffold,https://zenodo.org/records/19335597 (paternal haplotype),Yes
Zymoseptoria tritici,GCA_000219625.1,Chromosome,https://www.ebi.ac.uk/ena/browser/view/GCA_017766645.1,Yes
