run_accession,tax_id,scientific_name,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_ftp
ERR14826155,143294,Anodonta anatina,PRJEB86155,SAMEA117760296,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,194678558,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/055/ERR14826155/ERR14826155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/055/ERR14826155/ERR14826155_2.fastq.gz
ERR14826316,143294,Anodonta anatina,PRJEB86155,SAMEA117760457,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,176358462,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/016/ERR14826316/ERR14826316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/016/ERR14826316/ERR14826316_2.fastq.gz
ERR14826076,143294,Anodonta anatina,PRJEB86155,SAMEA117760217,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,171597930,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/076/ERR14826076/ERR14826076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/076/ERR14826076/ERR14826076_2.fastq.gz
ERR14825969,143294,Anodonta anatina,PRJEB86155,SAMEA117760110,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,167177118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/069/ERR14825969/ERR14825969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/069/ERR14825969/ERR14825969_2.fastq.gz
ERR14826014,143294,Anodonta anatina,PRJEB86155,SAMEA117760155,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,166422746,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/014/ERR14826014/ERR14826014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/014/ERR14826014/ERR14826014_2.fastq.gz
ERR14826154,143294,Anodonta anatina,PRJEB86155,SAMEA117760295,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,165002510,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/054/ERR14826154/ERR14826154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/054/ERR14826154/ERR14826154_2.fastq.gz
ERR14826022,143294,Anodonta anatina,PRJEB86155,SAMEA117760163,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,162723590,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/022/ERR14826022/ERR14826022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/022/ERR14826022/ERR14826022_2.fastq.gz
ERR14826019,143294,Anodonta anatina,PRJEB86155,SAMEA117760160,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,159903754,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/019/ERR14826019/ERR14826019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/019/ERR14826019/ERR14826019_2.fastq.gz
ERR14825998,143294,Anodonta anatina,PRJEB86155,SAMEA117760139,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,159886050,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14825998/ERR14825998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/098/ERR14825998/ERR14825998_2.fastq.gz
ERR14825989,143294,Anodonta anatina,PRJEB86155,SAMEA117760130,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,159386424,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/089/ERR14825989/ERR14825989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/089/ERR14825989/ERR14825989_2.fastq.gz
