run_accession,tax_id,scientific_name,study_accession,sample_accession,instrument_platform,instrument_model,library_strategy,library_source,library_selection,read_count,fastq_ftp
ERR14826282,47528,Anodonta cygnea,PRJEB86155,SAMEA117760423,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,194936604,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/082/ERR14826282/ERR14826282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/082/ERR14826282/ERR14826282_2.fastq.gz
ERR14826284,47528,Anodonta cygnea,PRJEB86155,SAMEA117760425,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,194511248,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/084/ERR14826284/ERR14826284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/084/ERR14826284/ERR14826284_2.fastq.gz
ERR14826280,47528,Anodonta cygnea,PRJEB86155,SAMEA117760421,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,187852440,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/080/ERR14826280/ERR14826280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/080/ERR14826280/ERR14826280_2.fastq.gz
ERR14826105,47528,Anodonta cygnea,PRJEB86155,SAMEA117760246,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,176062610,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826105/ERR14826105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14826105/ERR14826105_2.fastq.gz
ERR14826108,47528,Anodonta cygnea,PRJEB86155,SAMEA117760249,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,173889294,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826108/ERR14826108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/008/ERR14826108/ERR14826108_2.fastq.gz
ERR14826277,47528,Anodonta cygnea,PRJEB86155,SAMEA117760418,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,173093556,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/077/ERR14826277/ERR14826277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/077/ERR14826277/ERR14826277_2.fastq.gz
ERR14826268,47528,Anodonta cygnea,PRJEB86155,SAMEA117760409,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,168689234,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/068/ERR14826268/ERR14826268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/068/ERR14826268/ERR14826268_2.fastq.gz
ERR14826278,47528,Anodonta cygnea,PRJEB86155,SAMEA117760419,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,167557436,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/078/ERR14826278/ERR14826278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/078/ERR14826278/ERR14826278_2.fastq.gz
ERR14826103,47528,Anodonta cygnea,PRJEB86155,SAMEA117760244,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,166824470,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR14826103/ERR14826103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/003/ERR14826103/ERR14826103_2.fastq.gz
ERR14825987,47528,Anodonta cygnea,PRJEB86155,SAMEA117760128,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,166430274,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/087/ERR14825987/ERR14825987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/087/ERR14825987/ERR14825987_2.fastq.gz
ERR14826272,47528,Anodonta cygnea,PRJEB86155,SAMEA117760413,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,164538056,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14826272/ERR14826272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/072/ERR14826272/ERR14826272_2.fastq.gz
ERR14825985,47528,Anodonta cygnea,PRJEB86155,SAMEA117760126,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,163342306,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/085/ERR14825985/ERR14825985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/085/ERR14825985/ERR14825985_2.fastq.gz
ERR14826293,47528,Anodonta cygnea,PRJEB86155,SAMEA117760434,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,163073202,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/093/ERR14826293/ERR14826293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/093/ERR14826293/ERR14826293_2.fastq.gz
ERR14826289,47528,Anodonta cygnea,PRJEB86155,SAMEA117760430,ILLUMINA,Illumina NovaSeq X Plus,WGS,GENOMIC,RANDOM,162822450,ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/089/ERR14826289/ERR14826289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/089/ERR14826289/ERR14826289_2.fastq.gz
